"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.11.2022","114,08","110,54","115,66","110,54","2,15M","4,11%"
"01.10.2022","109,58","87,90","110,00","86,52","26,45M","23,28%"
"01.09.2022","88,89","96,96","100,72","86,80","30,20M","-9,19%"
"01.08.2022","97,89","104,36","111,04","97,84","22,90M","-6,66%"
"01.07.2022","104,88","92,09","107,34","88,91","30,77M","13,45%"
"01.06.2022","92,45","109,60","111,96","90,16","31,67M","-15,01%"
"01.05.2022","108,78","104,98","113,16","102,58","34,38M","3,07%"
"01.04.2022","105,54","110,08","111,92","100,56","26,39M","-4,37%"
"01.03.2022","110,36","114,48","115,24","90,24","54,21M","-3,95%"
"01.02.2022","114,90","113,58","120,36","105,72","37,22M","2,48%"
"01.01.2022","112,12","113,60","121,10","106,20","31,34M","-0,21%"
"01.12.2021","112,36","100,96","113,94","98,02","35,59M","13,82%"
"01.11.2021","98,72","111,08","117,62","95,73","40,47M","-10,74%"
"01.10.2021","110,60","113,02","116,96","107,16","27,86M","-3,91%"
"01.09.2021","115,10","116,50","118,88","108,72","30,87M","-0,52%"
"01.08.2021","115,70","116,80","117,90","108,20","21,60M","0,00%"
"01.07.2021","115,70","109,80","121,00","103,12","37,79M","6,69%"
"01.06.2021","108,44","106,86","116,04","104,90","30,45M","1,67%"
"01.05.2021","106,66","100,16","109,70","93,18","34,60M","6,72%"
"01.04.2021","99,94","96,70","104,54","95,95","30,69M","3,52%"
"01.03.2021","96,54","97,75","103,10","93,14","41,86M","0,66%"
"01.02.2021","95,91","84,13","103,98","82,41","40,08M","15,28%"
"01.01.2021","83,20","92,84","94,57","81,84","40,04M","-7,33%"
"01.12.2020","89,78","88,01","97,04","82,75","37,39M","2,34%"
"01.11.2020","87,73","62,97","94,90","61,68","67,95M","40,17%"
"01.10.2020","62,59","63,41","69,69","59,28","52,60M","0,84%"
"01.09.2020","62,07","69,35","75,28","57,87","50,20M","-9,83%"
"01.08.2020","68,84","62,33","76,18","60,78","40,27M","11,01%"
"01.07.2020","62,01","63,60","70,74","60,85","53,94M","-2,38%"
"01.06.2020","63,52","59,18","85,08","57,66","102,19M","12,03%"
"01.05.2020","56,70","55,00","64,27","48,21","65,06M","-2,04%"
"01.04.2020","57,88","58,00","65,26","49,51","76,28M","-2,46%"
"01.03.2020","59,34","110,00","114,46","48,12","111,61M","-45,11%"
"01.02.2020","108,10","133,64","138,98","105,64","34,61M","-18,87%"
"01.01.2020","133,24","132,58","139,40","130,50","23,39M","2,12%"
"01.12.2019","130,48","133,86","134,88","122,52","28,29M","-2,19%"
"01.11.2019","133,40","129,20","137,32","128,14","20,98M","3,88%"
"01.10.2019","128,42","120,00","130,36","114,36","28,82M","7,73%"
"01.09.2019","119,20","125,82","128,78","117,50","23,59M","-4,90%"
"01.08.2019","125,34","128,08","129,98","119,92","25,81M","-2,12%"
"01.07.2019","128,06","123,50","133,86","122,60","21,70M","2,71%"
"01.06.2019","124,68","113,70","126,50","112,86","24,14M","8,55%"
"01.05.2019","114,86","120,66","122,82","112,60","23,68M","-5,76%"
"01.04.2019","121,88","118,90","124,00","116,38","24,24M","3,38%"
"01.03.2019","117,90","114,06","119,44","109,30","31,15M","3,79%"
"01.02.2019","113,60","101,02","113,98","98,05","31,33M","13,35%"
"01.01.2019","100,22","83,58","100,46","77,50","34,27M","19,37%"
"01.12.2018","83,96","97,27","97,30","78,83","32,29M","-11,27%"
"01.11.2018","94,62","97,64","98,77","89,96","29,60M","-3,16%"
"01.10.2018","97,71","108,68","108,74","91,52","45,93M","-9,68%"
"01.09.2018","108,18","106,04","109,16","103,00","23,23M","1,81%"
"01.08.2018","106,26","106,12","110,88","104,96","21,95M","0,25%"
"01.07.2018","106,00","97,65","111,16","97,00","28,85M","5,73%"
"01.06.2018","100,26","98,02","106,50","94,57","30,37M","3,03%"
"01.05.2018","97,31","97,99","101,10","95,36","30,88M","-0,09%"
"01.04.2018","97,40","92,88","98,26","90,23","35,55M","3,84%"
"01.03.2018","93,80","98,17","98,79","91,87","40,47M","-4,62%"
"01.02.2018","98,34","93,10","99,97","81,33","51,82M","6,31%"
"01.01.2018","92,50","83,03","94,00","82,22","40,08M","11,45%"
"01.12.2017","83,00","87,30","89,27","83,00","30,14M","-4,91%"
"01.11.2017","87,29","88,50","88,50","82,26","32,88M","-0,52%"
"01.10.2017","87,75","80,33","89,12","76,17","45,74M","9,13%"
"01.09.2017","80,41","72,08","80,68","69,52","41,12M","13,88%"
"01.08.2017","70,61","72,00","73,98","68,42","31,04M","0,01%"
"01.07.2017","70,60","72,72","75,31","70,50","36,44M","-1,94%"
"01.06.2017","72,00","73,22","77,25","71,58","39,99M","-1,46%"
"01.05.2017","73,07","74,41","76,07","71,75","38,33M","-1,56%"
"01.04.2017","74,23","71,40","75,78","69,23","35,40M","4,07%"
"01.03.2017","71,33","69,69","72,12","68,28","36,00M","2,90%"
"01.02.2017","69,32","62,58","69,75","62,46","35,80M","10,45%"
"01.01.2017","62,76","62,68","66,32","62,31","38,41M","-0,13%"
"01.12.2016","62,84","60,26","64,98","58,09","45,09M","4,26%"
"01.11.2016","60,27","54,45","60,77","51,00","46,72M","11,30%"
"01.10.2016","54,15","53,84","55,90","51,50","42,39M","0,58%"
"01.09.2016","53,84","52,48","56,04","51,58","42,12M","2,96%"
"01.08.2016","52,29","52,90","53,42","49,51","34,92M","-0,65%"
"01.07.2016","52,63","51,86","54,70","48,07","45,41M","1,74%"
"01.06.2016","51,73","56,00","56,38","49,51","59,37M","-7,66%"
"01.05.2016","56,02","53,60","56,48","52,20","41,77M","2,58%"
"01.04.2016","54,61","57,15","59,33","54,43","53,57M","-6,41%"
"01.03.2016","58,35","59,67","63,45","57,52","50,57M","-2,39%"
"01.02.2016","59,78","57,82","59,88","49,96","68,52M","3,39%"
"01.01.2016","57,82","61,15","62,35","53,77","63,13M","-6,74%"
"01.12.2015","62,00","68,29","68,50","61,02","49,74M","-9,41%"
"01.11.2015","68,44","62,05","68,48","61,90","44,63M","8,02%"
"01.10.2015","63,36","53,99","64,50","53,14","56,24M","19,75%"
"01.09.2015","52,91","56,59","58,25","51,26","59,40M","-8,92%"
"01.08.2015","58,09","64,87","67,88","52,02","63,10M","-10,08%"
"01.07.2015","64,60","59,61","65,57","56,32","54,02M","11,00%"
"01.06.2015","58,20","61,33","63,08","56,13","66,75M","-6,13%"
"01.05.2015","62,00","61,20","65,55","58,12","53,78M","0,00%"
"01.04.2015","62,00","60,36","66,10","59,51","53,61M","2,58%"
"01.03.2015","60,44","55,85","64,00","55,17","69,96M","9,24%"
"01.02.2015","55,33","47,03","55,75","46,56","51,58M","17,22%"
"01.01.2015","47,20","41,54","51,20","40,78","88,80M","14,15%"
