"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.11.2022","177,58","142,12","179,32","141,54","8,88M","24,61%"
"01.10.2022","142,51","122,00","150,14","121,03","7,87M","17,70%"
"01.09.2022","121,08","157,28","160,95","120,99","8,29M","-24,44%"
"01.08.2022","160,25","165,86","173,81","157,93","6,20M","0,59%"
"01.07.2022","159,31","135,40","163,14","131,32","5,64M","16,52%"
"01.06.2022","136,72","133,00","147,18","113,02","239,35M","4,05%"
"01.05.2022","131,40","148,02","157,99","117,08","229,24M","-11,72%"
"01.04.2022","148,84","192,58","192,62","146,00","182,45M","-22,28%"
"01.03.2022","191,50","202,59","203,40","167,72","6,39M","-6,74%"
"01.02.2022","205,34","202,48","223,23","186,88","167,26M","2,55%"
"01.01.2022","200,24","204,00","229,67","183,77","219,05M","-0,54%"
"01.12.2021","201,32","200,81","212,68","185,26","212,74M","1,75%"
"01.11.2021","197,85","207,00","233,94","193,85","222,54M","-4,43%"
"01.10.2021","207,03","222,85","232,10","204,60","171,55M","-5,87%"
"01.09.2021","219,94","220,00","229,94","206,53","194,05M","0,20%"
"01.08.2021","219,50","227,19","241,15","210,94","187,93M","-3,08%"
"01.07.2021","226,48","240,36","241,80","204,80","272,40M","-5,46%"
"01.06.2021","239,56","253,00","258,40","235,66","263,28M","-3,02%"
"01.05.2021","247,02","234,11","252,60","219,07","258,43M","5,42%"
"01.04.2021","234,31","256,67","260,48","230,22","260,88M","-8,01%"
"01.03.2021","254,72","219,60","278,57","213,80","518,60M","20,15%"
"01.02.2021","212,01","196,00","229,61","192,86","244,15M","9,18%"
"01.01.2021","194,19","210,00","216,60","191,85","257,76M","-9,28%"
"01.12.2020","214,06","214,31","244,08","210,30","409,48M","1,59%"
"01.11.2020","210,71","145,75","223,02","143,38","526,77M","45,93%"
"01.10.2020","144,39","170,15","175,56","141,58","422,02M","-12,63%"
"01.09.2020","165,26","170,71","180,85","145,02","464,41M","-3,82%"
"01.08.2020","171,82","156,51","189,97","153,41","624,76M","8,75%"
"01.07.2020","158,00","185,88","190,61","156,26","802,65M","-13,80%"
"01.06.2020","183,30","145,45","234,20","144,55","1,47B","25,68%"
"01.05.2020","145,85","143,23","156,70","113,89","612,08M","3,43%"
"01.04.2020","141,02","138,91","164,80","120,02","819,32M","-5,44%"
"01.03.2020","149,14","279,54","297,44","89,00","744,05M","-45,79%"
"01.02.2020","275,11","318,75","349,95","269,60","118,32M","-13,56%"
"01.01.2020","318,27","328,55","344,19","302,72","181,66M","-2,30%"
"01.12.2019","325,76","367,08","367,38","320,61","127,81M","-11,04%"
"01.11.2019","366,18","340,59","375,60","339,50","86,79M","7,73%"
"01.10.2019","339,91","381,70","382,85","324,40","112,80M","-10,66%"
"01.09.2019","380,47","354,11","391,00","350,61","79,38M","4,50%"
"01.08.2019","364,09","341,91","369,69","319,55","95,92M","6,71%"
"01.07.2019","341,18","364,88","382,48","336,56","104,19M","-6,27%"
"01.06.2019","364,01","338,20","379,31","330,67","80,83M","6,56%"
"01.05.2019","341,61","378,53","381,20","337,00","102,80M","-9,55%"
